,movie_name,genre
834,Get Him to the Greek,Comedy
835,Arthur,Comedy
836,The Lincoln Lawyer,Thriller/Suspense
837,Unknown,Thriller/Suspense
838,Paul,Comedy
839,Predators,Action
840,Scream 4,Horror
841,The Big Year,Comedy
842,Red Riding Hood,Thriller/Suspense
843,The Warrior's Way,Western
844,The Mechanic,Action
845,Charlie St. Cloud,Drama
846,The Bounty Hunter,Romantic Comedy
847,The Rum Diary,Drama
848,The Ghost Writer,Thriller/Suspense
849,Arthur and the War of Two Worlds,Adventure
850,Jonah Hex,Action
851,Tooth Fairy,Adventure
852,Shanghai,Drama
853,I am Number Four,Adventure
854,Dream House,Horror
855,Your Highness,Comedy
856,Drive Angry,Action
857,Super 8,Thriller/Suspense
858,Moneyball,Drama
859,Upside Down,Romantic Comedy
860,Hereafter,Thriller/Suspense
861,"Crazy, Stupid, Love",Comedy
862,The Adjustment Bureau,Thriller/Suspense
863,Burlesque,Drama
864,Date Night,Comedy
865,Mr. Poppers's Penguins,Adventure
866,Ghost Rider: Spirit of Vengeance,Action
867,Resident Evil: Afterlife,Horror
868,Red,Action
869,Eat Pray Love,Drama
870,Priest,Horror
871,Edge of Darkness,Drama
872,Hop,Adventure
873,Red Dawn,Action
874,Due Date,Comedy
875,Hall Pass,Comedy
876,The Twilight Saga: Eclipse,Drama
877,Dinner for Schmucks,Comedy
878,Despicable Me,Adventure
879,Wall Street 2: Money Never Sleeps,Drama
880,Battle: Los Angeles,Action
881,The Dilemma,Comedy
882,Grown Ups,Comedy
883,Just Go With It,Romantic Comedy
884,Oceans,Documentary
885,Yogi Bear,Adventure
886,The Book of Eli,Action
887,Zookeeper,Romantic Comedy
888,The Expendables,Action
